Date,Open,High,Low,Close,Adj_Close,Volume
0,137.800003,138.5,136.860001,137.179993,137.179993,806069
1,136.759995,136.820007,134.160004,134.539993,134.539993,908349
2,134.380005,136.919998,134.380005,136.199997,136.199997,936370
3,134.679993,135.440002,133.339996,133.679993,133.679993,1457225
4,133.0,134.380005,132.619995,133.240005,133.240005,1440069
